,Chest Pain,question
0,Pressure,7bd78b32-03c0-4c28-9208-f4e9c2967558
1,Squeezing,7bd78b32-03c0-4c28-9208-f4e9c2967558
2,Tightness,7bd78b32-03c0-4c28-9208-f4e9c2967558
3,Exertional,9cf10e77-00db-4ea9-bdca-c2e0d04c101b
4,Dull,7bd78b32-03c0-4c28-9208-f4e9c2967558
5,Nitrate relief,a381f85e-7da2-433c-b392-c315c1886e67
6,Sbp< 100,ae18f576-c22e-4c27-a1ef-32e2401e1285
7,Murmur systolic,748e528a-da0d-4054-b78d-aa9dd2f74990
8,Murmur Diastolic,748e528a-da0d-4054-b78d-aa9dd2f74990
9,Rales,b067db34-139f-40b9-841b-7347a464ec0e
10,Low carotid puls,1b2d7a50-a47c-40c3-afd5-cce46c52ac43
11,HTN,881ba1b1-1c32-4b1c-b02f-203f0487e20a
12,Age < 20,ad9b04e6-e4f5-4e3a-bd5d-eb2ab1acb75e
13,Age < 60,ad9b04e6-e4f5-4e3a-bd5d-eb2ab1acb75e
14,Age > 65,ad9b04e6-e4f5-4e3a-bd5d-eb2ab1acb75e
15,AS/AI,4a2475c9-4bd5-4c33-95e2-216aa444dbb6
