,Chest Pain,question
0,Exertional,9cf10e77-00db-4ea9-bdca-c2e0d04c101b
1,Gradual,a381f85e-7da2-433c-b392-c315c1886e67
2,Fever,eaef8a83-95b8-4239-bebd-8685b525d809
3,Cough,eaef8a83-95b8-4239-bebd-8685b525d809
4,Short of breath,eaef8a83-95b8-4239-bebd-8685b525d809
5,HR>100,ae18f576-c22e-4c27-a1ef-32e2401e1285
6,T>100.4,ae18f576-c22e-4c27-a1ef-32e2401e1285
7,RR>20,ae18f576-c22e-4c27-a1ef-32e2401e1285
8,O2sat < 90,ae18f576-c22e-4c27-a1ef-32e2401e1285
9,Pleural Rub,b067db34-139f-40b9-841b-7347a464ec0e
10,Age < 20,ad9b04e6-e4f5-4e3a-bd5d-eb2ab1acb75e
11,Age < 50,ad9b04e6-e4f5-4e3a-bd5d-eb2ab1acb75e
12,Age < 60,ad9b04e6-e4f5-4e3a-bd5d-eb2ab1acb75e
13,Age > 65,ad9b04e6-e4f5-4e3a-bd5d-eb2ab1acb75e
14,COPD,2285dad6-2356-48d3-8c29-e7febad3e7b2
